year,country,suicides_no,gdp_for_year
1985,Antigua and Barbuda,0,"240,923,926"
1985,Argentina,1988,"88,416,668,900"
1985,Australia,1861,"180,190,994,861"
1985,Austria,2091,"69,386,774,475"
1985,Bahamas,1,"2,320,699,900"
1985,Bahrain,11,"3,651,861,702"
1985,Barbados,7,"1,417,575,550"
1985,Belgium,2281,"86,730,038,793"
1985,Brazil,4228,"222,942,790,435"
1985,Bulgaria,1456,"17,155,421,053"
1985,Canada,3258,"364,756,499,451"
1985,Chile,683,"17,702,885,394"
1985,Colombia,1001,"34,894,411,352"
1985,Costa Rica,128,"4,796,628,461"
1985,Dominica,0,"98,585,185"
1985,Ecuador,393,"17,149,094,590"
1985,France,12501,"553,138,414,367"
1985,Greece,405,"47,820,850,975"
1985,Grenada,1,"167,728,444"
1985,Iceland,32,"2,939,845,038"
1985,Ireland,276,"21,295,486,383"
1985,Israel,234,"27,493,591,484"
1985,Italy,4759,"450,725,816,043"
1985,Jamaica,8,"2,100,223,150"
1985,Japan,23257,"1,398,892,744,821"
1985,Kuwait,17,"21,442,619,681"
1985,Luxembourg,55,"4,738,559,685"
1985,Malta,2,"1,117,835,286"
1985,Mauritius,104,"1,080,642,033"
1985,Mexico,1544,"184,472,557,415"
1985,Netherlands,1638,"142,009,922,306"
1985,New Zealand,338,"24,950,895,141"
1985,Panama,56,"6,541,517,100"
1985,Paraguay,63,"2,966,234,106"
1985,Portugal,983,"27,118,476,174"
1985,Puerto Rico,269,"20,289,200,000"
1985,Republic of Korea,3689,"100,273,097,170"
1985,Saint Vincent and Grenadines,2,"145,641,704"
1985,Seychelles,8,"168,887,539"
1985,Singapore,324,"19,138,296,376"
1985,Spain,2514,"180,302,412,231"
1985,Sri Lanka,5668,"5,978,460,972"
1985,Suriname,80,"873,250,000"
1985,Thailand,2982,"38,900,692,712"
1985,Trinidad and Tobago,29,"7,375,918,367"
1985,United Kingdom,5105,"489,285,164,271"
1985,United States,29446,"4,346,734,000,000"
1985,Uruguay,287,"4,732,017,873"
1986,Antigua and Barbuda,0,"290,440,148"
1986,Argentina,2284,"110,934,442,763"
1986,Australia,2044,"181,977,476,217"
1986,Austria,2139,"99,036,165,210"
1986,Barbados,8,"1,556,321,742"
1986,Belgium,2202,"120,661,220,336"
1986,Belize,3,"227,850,000"
1986,Brazil,4271,"268,137,224,730"
1986,Bulgaria,1408,"20,249,294,118"
1986,Canada,3670,"377,437,927,312"
1986,Chile,654,"18,891,048,819"
1986,Colombia,958,"34,942,489,684"
1986,Costa Rica,131,"5,477,895,475"
1986,Ecuador,377,"15,314,143,988"
1986,France,12529,"771,470,783,218"
1986,Greece,393,"56,379,593,720"
1986,Guatemala,203,"7,231,963,516"
1986,Iceland,37,"3,930,518,366"
1986,Ireland,282,"28,748,960,471"
1986,Israel,278,"34,083,532,195"
1986,Italy,4691,"638,273,986,102"
1986,Jamaica,1,"2,754,566,176"
1986,Japan,25484,"2,078,953,333,674"
1986,Kuwait,16,"17,903,681,693"
1986,Luxembourg,51,"6,921,264,132"
1986,Malta,1,"1,435,079,200"
1986,Mauritius,28,"1,469,046,115"
1986,Mexico,1714,"129,440,993,789"
1986,Netherlands,1604,"198,298,498,021"
1986,New Zealand,414,"30,604,668,357"
1986,Norway,579,"78,693,253,276"
1986,Panama,82,"6,797,834,200"
1986,Paraguay,56,"3,439,716,562"
1986,Portugal,941,"38,749,715,722"
1986,Puerto Rico,310,"22,009,300,000"
1986,Republic of Korea,3458,"115,537,126,326"
1986,Saint Lucia,5,"289,689,704"
1986,Saint Vincent and Grenadines,0,"160,846,667"
1986,Seychelles,1,"207,850,624"
1986,Singapore,326,"18,569,292,305"
1986,Spain,2755,"250,638,463,467"
1986,Sri Lanka,5345,"6,405,210,564"
1986,Suriname,42,"891,000,000"
1986,Thailand,2798,"43,096,746,122"
1986,Trinidad and Tobago,104,"4,794,444,444"
1986,United Kingdom,4839,"601,452,653,181"
1986,United States,30892,"4,590,155,000,000"
1986,Uruguay,262,"5,880,112,788"
1987,Albania,73,"2,156,624,900"
1987,Antigua and Barbuda,0,"337,174,852"
1987,Argentina,2286,"111,106,191,358"
1987,Australia,2164,"189,041,159,344"
1987,Austria,2069,"124,168,442,860"
1987,Bahamas,3,"2,713,999,900"
1987,Bahrain,9,"3,392,021,011"
1987,Barbados,6,"1,713,771,321"
1987,Belgium,2238,"150,194,077,688"
1987,Belize,4,"276,550,000"
1987,Brazil,4672,"294,084,112,393"
1987,Bulgaria,1492,"28,101,000,000"
1987,Canada,3591,"431,316,742,081"
1987,Chile,693,"22,255,407,685"
1987,Colombia,951,"36,373,307,085"
1987,Costa Rica,119,"5,841,132,962"
1987,Ecuador,390,"13,945,431,882"
1987,Finland,1363,"91,642,093,873"
1987,France,12161,"934,173,305,686"
1987,Greece,410,"65,652,751,132"
1987,Guatemala,241,"7,084,399,840"
1987,Iceland,36,"5,438,537,482"
1987,Ireland,245,"33,961,142,322"
1987,Israel,271,"40,946,424,370"
1987,Italy,4516,"803,055,418,883"
1987,Jamaica,13,"3,286,987,552"
1987,Japan,23663,"2,532,808,573,157"
1987,Kuwait,16,"22,365,734,482"
1987,Luxembourg,74,"8,614,215,559"
1987,Malta,1,"1,751,247,763"
1987,Mauritius,140,"1,888,754,655"
1987,Mexico,1701,"140,263,387,027"
1987,Netherlands,1616,"241,918,791,123"
1987,New Zealand,463,"40,338,594,862"
1987,Norway,649,"94,230,055,659"
1987,Panama,85,"6,827,665,300"
1987,Paraguay,62,"3,778,316,380"
1987,Portugal,960,"48,187,667,853"
1987,Puerto Rico,272,"24,025,800,000"
1987,Republic of Korea,3301,"146,133,338,196"
1987,Saint Lucia,11,"319,998,987"
1987,Saint Vincent and Grenadines,0,"175,580,630"
1987,Seychelles,3,"249,267,040"
1987,Singapore,301,"20,897,630,201"
1987,Spain,2804,"317,882,187,037"
1987,Suriname,52,"979,850,000"
1987,Sweden,1541,"180,429,286,796"
1987,Thailand,3035,"50,535,438,696"
1987,Trinidad and Tobago,119,"4,797,777,778"
1987,Turkmenistan,272,"2,331,358,820"
1987,Ukraine,10050,"64,087,694,038"
1987,United Kingdom,4594,"745,162,608,269"
1987,United States,30783,"4,870,217,000,000"
1987,Uruguay,258,"7,367,494,080"
1988,Albania,63,"2,126,000,000"
1988,Antigua and Barbuda,0,"398,637,741"
1988,Argentina,2354,"126,206,817,196"
1988,Australia,2172,"235,699,941,793"
1988,Austria,1851,"133,339,397,080"
1988,Bahrain,14,"3,702,393,617"
1988,Barbados,12,"1,822,815,594"
1988,Belgium,1996,"163,167,853,538"
1988,Brazil,4466,"330,397,381,998"
1988,Bulgaria,1452,"22,555,941,176"
1988,Canada,3510,"507,354,351,182"
1988,Chile,697,"26,040,229,793"
1988,Colombia,912,"39,212,550,050"
1988,Costa Rica,138,"6,063,759,371"
1988,Ecuador,466,"13,051,886,552"
1988,Finland,1402,"109,103,056,148"
1988,France,11599,"1,018,847,043,277"
1988,Greece,403,"76,261,278,405"
1988,Grenada,4,"236,357,519"
1988,Guatemala,174,"7,841,602,824"
1988,Guyana,56,"413,799,990"
1988,Iceland,35,"6,016,168,896"
1988,Ireland,266,"37,818,134,253"
1988,Israel,303,"50,078,767,903"
1988,Italy,4381,"888,667,913,419"
1988,Jamaica,5,"3,828,310,735"
1988,Japan,22676,"3,071,683,013,179"
1988,Luxembourg,69,"9,750,161,053"
1988,Malta,9,"2,019,474,244"
1988,Mauritius,167,"2,143,484,488"
1988,Mexico,1703,"183,144,164,357"
1988,Netherlands,1523,"258,567,751,143"
1988,New Zealand,484,"45,493,075,684"
1988,Norway,708,"101,900,260,856"
1988,Panama,87,"5,902,783,400"
1988,Portugal,819,"56,352,797,354"
