year,age,suicides_no,population
1985,15-24 years,17870,196974439
1985,25-34 years,20771,173536624
1985,35-54 years,35748,246046628
1985,5-14 years,984,199192522
1985,55-74 years,28736,152769432
1985,75+ years,11954,40080441
1986,15-24 years,18063,199238573
1986,25-34 years,21685,176214788
1986,35-54 years,37558,253601356
1986,5-14 years,944,202815438
1986,55-74 years,29760,156574209
1986,75+ years,12660,41465249
1987,15-24 years,16432,208588197
1987,25-34 years,22309,188988532
1987,35-54 years,40649,273473250
1987,5-14 years,935,208313887
1987,55-74 years,32469,169554641
1987,75+ years,14048,46111219
1988,15-24 years,15337,196035518
1988,25-34 years,21332,181934957
1988,35-54 years,38770,267264139
1988,5-14 years,837,195336565
1988,55-74 years,30538,166789014
1988,75+ years,14212,46734231
1989,15-24 years,18636,219927016
1989,25-34 years,29427,213566446
1989,35-54 years,53541,316627576
1989,5-14 years,1150,222337932
1989,55-74 years,40087,197860873
1989,75+ years,17403,55194504
1990,15-24 years,23248,262224981
1990,25-34 years,35276,255943494
1990,35-54 years,65242,381429036
1990,5-14 years,1477,264959789
1990,55-74 years,47018,235387943
1990,75+ years,21100,66674857
1991,15-24 years,23317,263683586
1991,25-34 years,35615,258085415
1991,35-54 years,68374,391411658
1991,5-14 years,1533,267650607
1991,55-74 years,48315,241269189
1991,75+ years,20866,67887929
1992,15-24 years,24727,278729125
1992,25-34 years,37758,270397353
1992,35-54 years,75051,412814790
1992,5-14 years,1687,286065805
1992,55-74 years,51506,251982954
1992,75+ years,20744,69549420
1993,15-24 years,25262,267069051
1993,25-34 years,39044,260776673
1993,35-54 years,80670,407012350
1993,5-14 years,1789,275649767
1993,55-74 years,54278,251229172
1993,75+ years,20522,68679641
1994,15-24 years,27296,267468800
1994,25-34 years,40946,263220968
1994,35-54 years,84986,417589803
1994,5-14 years,1760,272020060
1994,55-74 years,56576,258671110
1994,75+ years,20499,69778631
1995,15-24 years,29461,272391062
1995,25-34 years,42371,268186691
1995,35-54 years,89752,434002463
1995,5-14 years,1921,276545519
1995,55-74 years,59138,267815735
1995,75+ years,20901,72617633
1996,15-24 years,30365,285894005
1996,25-34 years,42593,278429626
1996,35-54 years,91280,454968532
1996,5-14 years,1865,290936431
1996,55-74 years,59979,276361725
1996,75+ years,20643,75677343
1997,15-24 years,30157,294538353
1997,25-34 years,41158,285003000
1997,35-54 years,88012,466646342
1997,5-14 years,1880,302524185
1997,55-74 years,58672,277090379
1997,75+ years,20866,77189260
1998,15-24 years,30817,296626620
1998,25-34 years,41706,286231329
1998,35-54 years,91627,478662917
1998,5-14 years,2082,302835669
1998,55-74 years,61642,281202250
1998,75+ years,21717,79622566
1999,15-24 years,31582,304307108
1999,25-34 years,41968,291530934
1999,35-54 years,96223,500176591
1999,5-14 years,2049,307095027
1999,55-74 years,62664,289611423
1999,75+ years,21633,83642072
2000,15-24 years,31742,306833668
2000,25-34 years,41605,294464558
2000,35-54 years,97814,512406074
2000,5-14 years,2065,307228422
2000,55-74 years,60973,291933570
2000,75+ years,21633,86361616
2001,15-24 years,30806,297966000
2001,25-34 years,40279,284481809
2001,35-54 years,96998,503304611
2001,5-14 years,2095,294718908
2001,55-74 years,59037,287082265
2001,75+ years,21437,88011896
2002,15-24 years,31087,309304957
2002,25-34 years,41536,296207160
2002,35-54 years,98675,524892282
2002,5-14 years,2064,301180148
2002,55-74 years,60324,298245176
2002,75+ years,22409,92323092
2003,15-24 years,30558,311965575
2003,25-34 years,41053,296827661
2003,35-54 years,98693,531132194
2003,5-14 years,1873,299034887
2003,55-74 years,60929,304473586
2003,75+ years,22973,95024117
2004,15-24 years,28702,290415721
2004,25-34 years,38221,279976620
2004,35-54 years,92531,509520667
2004,5-14 years,1839,270982469
2004,55-74 years,57103,298895614
2004,75+ years,22465,95455522
2005,15-24 years,27624,286690446
2005,25-34 years,37442,278296962
2005,35-54 years,88498,507445700
2005,5-14 years,1774,264397401
2005,55-74 years,56581,301001533
2005,75+ years,22456,97077603
2006,15-24 years,27937,305127668
2006,25-34 years,37221,295325866
2006,35-54 years,87032,536511821
2006,5-14 years,1755,283329957
2006,55-74 years,56613,318224726
2006,75+ years,22803,102388799
2007,15-24 years,27670,305436926
2007,25-34 years,37936,298222521
2007,35-54 years,85749,542880362
2007,5-14 years,1671,281095405
2007,55-74 years,56857,326135725
2007,75+ years,23525,105793414
2008,15-24 years,28145,302200881
2008,25-34 years,37756,297532003
2008,35-54 years,86664,542789284
2008,5-14 years,1640,278903896
2008,55-74 years,57687,332062421
2008,75+ years,23555,107132366
2009,15-24 years,28487,321540733
2009,25-34 years,39389,318594904
2009,35-54 years,90390,575243831
2009,5-14 years,1835,297254525
2009,55-74 years,59902,351397333
2009,75+ years,23484,112197040
2010,15-24 years,27684,321498365
2010,25-34 years,38317,321277547
2010,35-54 years,87364,581133742
2010,5-14 years,1760,297317505
2010,55-74 years,59743,361189135
2010,75+ years,23834,114881035
2011,15-24 years,27937,317262371
2011,25-34 years,37936,318111842
2011,35-54 years,85345,578742563
2011,5-14 years,1879,294238144
2011,55-74 years,59178,367532048
2011,75+ years,24209,117475364
2012,15-24 years,26280,295020664
2012,25-34 years,36625,303401688
2012,35-54 years,82482,558344819
2012,5-14 years,1752,271680873
2012,55-74 years,58443,365281729
2012,75+ years,24578,119082315
2013,15-24 years,24249,288206852
2013,25-34 years,35068,298709101
2013,35-54 years,80227,550420191
2013,5-14 years,1806,268175176
2013,55-74 years,57696,364931201
2013,75+ years,24153,119719189
2014,15-24 years,24028,287809150
2014,25-34 years,35381,302734620
2014,35-54 years,79132,556105537
2014,5-14 years,1882,268239985
2014,55-74 years,57696,374038522
2014,75+ years,24865,123129495
2015,15-24 years,21841,261674147
2015,25-34 years,32118,279250191
2015,35-54 years,71298,515972039
2015,5-14 years,1681,246636333
2015,55-74 years,53588,354566127
2015,75+ years,23114,116559095
2016,15-24 years,1195,20296338
2016,25-34 years,2070,22641704
2016,35-54 years,5766,47314975
2016,55-74 years,4715,32084580
2016,75+ years,1857,9764299
